Year,Period,labor force,employment,unemployment,unemployment rate
1999,Jan,224155,219848,4307,1.9
1999,Feb,226798,222306,4492,2.0
1999,Mar,227514,223351,4163,1.8
1999,Apr,227618,223782,3836,1.7
1999,May,229106,224958,4148,1.8
1999,Jun,231443,226752,4691,2.0
1999,Jul,232746,227715,5031,2.2
1999,Aug,230225,225735,4490,2.0
1999,Sep,229595,225402,4193,1.8
1999,Oct,231901,227296,4605,2.0
1999,Nov,232819,228058,4761,2.0
1999,Dec,233102,228752,4350,1.9
1999,Annual,229752,225330,4422,1.9
2000,Jan,228591,222010,6581,2.9
2000,Feb,232880,226017,6863,2.9
2000,Mar,233695,227177,6518,2.8
2000,Apr,234250,229007,5243,2.2
2000,May,232500,225820,6680,2.9
2000,Jun,233699,226468,7231,3.1
2000,Jul,233813,226531,7282,3.1
2000,Aug,231102,223929,7173,3.1
2000,Sep,230039,223830,6209,2.7
2000,Oct,232483,225989,6494,2.8
2000,Nov,234121,226892,7229,3.1
2000,Dec,235620,228920,6700,2.8
2000,Annual,232733,226049,6684,2.9
2001,Jan,239512,230852,8660,3.6
2001,Feb,242429,233500,8929,3.7
2001,Mar,244256,234991,9265,3.8
2001,Apr,242735,234067,8668,3.6
2001,May,241545,232652,8893,3.7
2001,Jun,242032,232210,9822,4.1
2001,Jul,243372,233411,9961,4.1
2001,Aug,237200,226077,11123,4.7
2001,Sep,237347,226899,10448,4.4
2001,Oct,239367,227789,11578,4.8
2001,Nov,238963,226374,12589,5.3
2001,Dec,240181,228054,12127,5.0
2001,Annual,240745,230573,10172,4.2
2002,Jan,238769,225174,13595,5.7
2002,Feb,241528,228468,13060,5.4
2002,Mar,242912,229644,13268,5.5
2002,Apr,243245,229962,13283,5.5
2002,May,242988,229858,13130,5.4
2002,Jun,242833,228708,14125,5.8
2002,Jul,240841,227060,13781,5.7
2002,Aug,239344,225971,13373,5.6
2002,Sep,238720,226623,12097,5.1
2002,Oct,237584,225038,12546,5.3
2002,Nov,236146,222554,13592,5.8
2002,Dec,233892,220844,13048,5.6
2002,Annual,239901,226659,13242,5.5
2003,Jan,237387,223917,13470,5.7
2003,Feb,240333,227256,13077,5.4
2003,Mar,241360,228517,12843,5.3
2003,Apr,240553,227489,13064,5.4
2003,May,239704,226769,12935,5.4
2003,Jun,241966,227440,14526,6.0
2003,Jul,241239,227661,13578,5.6
2003,Aug,238939,226075,12864,5.4
2003,Sep,238287,226636,11651,4.9
2003,Oct,238171,226650,11521,4.8
2003,Nov,239587,227601,11986,5.0
2003,Dec,238190,227636,10554,4.4
2003,Annual,239643,226971,12672,5.3
2004,Jan,239309,227587,11722,4.9
2004,Feb,240183,229163,11020,4.6
2004,Mar,240026,228953,11073,4.6
2004,Apr,238431,228141,10290,4.3
2004,May,239366,228828,10538,4.4
2004,Jun,242167,230356,11811,4.9
2004,Jul,244504,233294,11210,4.6
2004,Aug,240802,230518,10284,4.3
2004,Sep,239424,230701,8723,3.6
2004,Oct,239552,230127,9425,3.9
2004,Nov,241480,231077,10403,4.3
2004,Dec,239929,230000,9929,4.1
2004,Annual,240431,229895,10536,4.4
2005,Jan,238574,227894,10680,4.5
2005,Feb,240622,229411,11211,4.7
2005,Mar,241479,231196,10283,4.3
2005,Apr,241975,231764,10211,4.2
2005,May,242870,232479,10391,4.3
2005,Jun,245199,233628,11571,4.7
2005,Jul,249039,237248,11791,4.7
2005,Aug,246960,236177,10783,4.4
2005,Sep,246923,236989,9934,4.0
2005,Oct,246482,236608,9874,4.0
2005,Nov,246941,236640,10301,4.2
2005,Dec,246808,237753,9055,3.7
2005,Annual,244489,233982,10507,4.3
2006,Jan,245718,236405,9313,3.8
2006,Feb,247942,237783,10159,4.1
2006,Mar,249102,239816,9286,3.7
2006,Apr,248950,239805,9145,3.7
2006,May,251530,241675,9855,3.9
2006,Jun,254221,243568,10653,4.2
2006,Jul,257485,246196,11289,4.4
2006,Aug,256076,245415,10661,4.2
2006,Sep,255396,245782,9614,3.8
2006,Oct,256627,247182,9445,3.7
2006,Nov,258002,247841,10161,3.9
2006,Dec,257527,248312,9215,3.6
2006,Annual,253215,243315,9900,3.9
2007,Jan,252685,242402,10283,4.1
2007,Feb,253936,243824,10112,4.0
2007,Mar,254765,245556,9209,3.6
2007,Apr,253498,244240,9258,3.7
2007,May,254149,244660,9489,3.7
2007,Jun,257355,246644,10711,4.2
2007,Jul,260048,249079,10969,4.2
2007,Aug,257040,246988,10052,3.9
2007,Sep,258037,248502,9535,3.7
2007,Oct,255557,246149,9408,3.7
2007,Nov,257072,247441,9631,3.7
2007,Dec,255684,245872,9812,3.8
2007,Annual,255818,245946,9872,3.9
2008,Jan,259241,248655,10586,4.1
2008,Feb,259506,248802,10704,4.1
2008,Mar,260914,250389,10525,4.0
2008,Apr,262185,252236,9949,3.8
2008,May,263070,251271,11799,4.5
2008,Jun,265048,252090,12958,4.9
2008,Jul,268202,254370,13832,5.2
2008,Aug,264968,251839,13129,5.0
2008,Sep,265074,252879,12195,4.6
2008,Oct,264619,252746,11873,4.5
2008,Nov,267142,251711,15431,5.8
2008,Dec,265941,249460,16481,6.2
2008,Annual,263826,251371,12455,4.7
2009,Jan,266928,247383,19545,7.3
2009,Feb,267754,247097,20657,7.7
2009,Mar,267323,247711,19612,7.3
2009,Apr,268079,249075,19004,7.1
2009,May,268479,247827,20652,7.7
