lev3,index,Estimate,Percent Estimate
Under 5 years,DP05_0005,20509,6.8
5 to 9 years,DP05_0006,17989,6.0
10 to 14 years,DP05_0007,17110,5.7
15 to 19 years,DP05_0008,18840,6.3
20 to 24 years,DP05_0009,21555,7.2
25 to 34 years,DP05_0010,54326,18.1
35 to 44 years,DP05_0011,43383,14.4
45 to 54 years,DP05_0012,37617,12.5
55 to 59 years,DP05_0013,17888,5.9
60 to 64 years,DP05_0014,16623,5.5
65 to 74 years,DP05_0015,21308,7.1
75 to 84 years,DP05_0016,9053,3.0
85 years and over,DP05_0017,4664,1.6
Median age (years),DP05_0018,35.0,(X)
