lev1,lev2,lev3,lev4,lev5,index,Estimate,Percent Estimate
RACE,Total population,,,,DP05_0033,300865,300865
RACE,Total population,One race,,,DP05_0034,292076,97.1
RACE,Total population,Two or more races,,,DP05_0035,8789,2.9
RACE,Total population,One race,,,DP05_0036,292076,97.1
RACE,Total population,One race,White,,DP05_0037,153235,50.9
RACE,Total population,One race,Black or African American,,DP05_0038,112351,37.3
RACE,Total population,One race,American Indian and Alaska Native,,DP05_0039,810,0.3
RACE,Total population,One race,American Indian and Alaska Native,Cherokee tribal grouping,DP05_0040,170,0.1
RACE,Total population,One race,American Indian and Alaska Native,Chippewa tribal grouping,DP05_0041,0,0.0
RACE,Total population,One race,American Indian and Alaska Native,Navajo tribal grouping,DP05_0042,28,0.0
RACE,Total population,One race,American Indian and Alaska Native,Sioux tribal grouping,DP05_0043,9,0.0
RACE,Total population,One race,Asian,,DP05_0044,14310,4.8
RACE,Total population,One race,Asian,Asian Indian,DP05_0045,3924,1.3
RACE,Total population,One race,Asian,Chinese,DP05_0046,4724,1.6
RACE,Total population,One race,Asian,Filipino,DP05_0047,1171,0.4
RACE,Total population,One race,Asian,Japanese,DP05_0048,387,0.1
RACE,Total population,One race,Asian,Korean,DP05_0049,1313,0.4
RACE,Total population,One race,Asian,Vietnamese,DP05_0050,1286,0.4
RACE,Total population,One race,Asian,Other Asian,DP05_0051,1505,0.5
RACE,Total population,One race,Native Hawaiian and Other Pacific Islander,,DP05_0052,138,0.0
RACE,Total population,One race,Native Hawaiian and Other Pacific Islander,Native Hawaiian,DP05_0053,60,0.0
RACE,Total population,One race,Native Hawaiian and Other Pacific Islander,Guamanian or Chamorro,DP05_0054,26,0.0
RACE,Total population,One race,Native Hawaiian and Other Pacific Islander,Samoan,DP05_0055,34,0.0
RACE,Total population,One race,Native Hawaiian and Other Pacific Islander,Other Pacific Islander,DP05_0056,18,0.0
RACE,Total population,One race,Some other race,,DP05_0057,11232,3.7
RACE,Total population,Two or more races,,,DP05_0058,8789,2.9
RACE,Total population,Two or more races,White and Black or African American,,DP05_0059,2678,0.9
RACE,Total population,Two or more races,White and American Indian and Alaska Native,,DP05_0060,1055,0.4
RACE,Total population,Two or more races,White and Asian,,DP05_0061,1706,0.6
RACE,Total population,Two or more races,Black or African American and American Indian and Alaska Native,,DP05_0062,757,0.3
