level,count,percent,source
Under 5 years,0,0.0,UMD
5 to 9 years,0,0.0,UMD
10 to 14 years,0,0.0,UMD
15 to 19 years,81,1.5294561933534743,UMD
20 to 24 years,420,7.930513595166164,UMD
25 to 34 years,816,15.407854984894259,UMD
35 to 44 years,1105,20.864803625377643,UMD
45 to 54 years,1686,31.835347432024168,UMD
55 to 59 years,636,12.009063444108762,UMD
60 to 64 years,342,6.457703927492448,UMD
65 to 74 years,190,3.5876132930513593,UMD
75 to 84 years,20,0.3776435045317221,UMD
85 years and over,0,0.0,UMD
Under 5 years,20509,6.8,Duhram
5 to 9 years,17989,6.0,Duhram
10 to 14 years,17110,5.7,Duhram
15 to 19 years,18840,6.3,Duhram
20 to 24 years,21555,7.2,Duhram
25 to 34 years,54326,18.1,Duhram
35 to 44 years,43383,14.4,Duhram
45 to 54 years,37617,12.5,Duhram
55 to 59 years,17888,5.9,Duhram
60 to 64 years,16623,5.5,Duhram
65 to 74 years,21308,7.1,Duhram
75 to 84 years,9053,3.0,Duhram
85 years and over,4664,1.6,Duhram
