GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD04,Estimate; Total: - Veteran
HD02_VD04,Margin of Error; Total: - Veteran
HD01_VD05,Estimate; Total: - Nonveteran
HD02_VD05,Margin of Error; Total: - Nonveteran
HD01_VD06,Estimate; Total: - Male:
HD02_VD06,Margin of Error; Total: - Male:
HD01_VD08,Estimate; Total: - Male: - Veteran
HD02_VD08,Margin of Error; Total: - Male: - Veteran
HD01_VD09,Estimate; Total: - Male: - Nonveteran
HD02_VD09,Margin of Error; Total: - Male: - Nonveteran
HD01_VD10,Estimate; Total: - Male: - 18 to 34 years:
HD02_VD10,Margin of Error; Total: - Male: - 18 to 34 years:
HD01_VD11,Estimate; Total: - Male: - 18 to 34 years: - Veteran
HD02_VD11,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran
HD01_VD12,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran
HD02_VD12,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran
HD01_VD13,Estimate; Total: - Male: - 35 to 54 years:
HD02_VD13,Margin of Error; Total: - Male: - 35 to 54 years:
HD01_VD14,Estimate; Total: - Male: - 35 to 54 years: - Veteran
HD02_VD14,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran
HD01_VD15,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran
HD02_VD15,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran
HD01_VD16,Estimate; Total: - Male: - 55 to 64 years:
HD02_VD16,Margin of Error; Total: - Male: - 55 to 64 years:
HD01_VD17,Estimate; Total: - Male: - 55 to 64 years: - Veteran
HD02_VD17,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran
HD01_VD18,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran
HD02_VD18,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran
HD01_VD19,Estimate; Total: - Male: - 65 to 74 years:
HD02_VD19,Margin of Error; Total: - Male: - 65 to 74 years:
HD01_VD20,Estimate; Total: - Male: - 65 to 74 years: - Veteran
HD02_VD20,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran
HD01_VD21,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran
HD02_VD21,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran
HD01_VD22,Estimate; Total: - Male: - 75 years and over:
HD02_VD22,Margin of Error; Total: - Male: - 75 years and over:
HD01_VD23,Estimate; Total: - Male: - 75 years and over: - Veteran
HD02_VD23,Margin of Error; Total: - Male: - 75 years and over: - Veteran
HD01_VD24,Estimate; Total: - Male: - 75 years and over: - Nonveteran
HD02_VD24,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran
HD01_VD25,Estimate; Total: - Female:
HD02_VD25,Margin of Error; Total: - Female:
HD01_VD27,Estimate; Total: - Female: - Veteran
HD02_VD27,Margin of Error; Total: - Female: - Veteran
HD01_VD28,Estimate; Total: - Female: - Nonveteran
HD02_VD28,Margin of Error; Total: - Female: - Nonveteran
HD01_VD29,Estimate; Total: - Female: - 18 to 34 years:
HD02_VD29,Margin of Error; Total: - Female: - 18 to 34 years:
HD01_VD30,Estimate; Total: - Female: - 18 to 34 years: - Veteran
HD02_VD30,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran
HD01_VD31,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran
HD02_VD31,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran
HD01_VD32,Estimate; Total: - Female: - 35 to 54 years:
HD02_VD32,Margin of Error; Total: - Female: - 35 to 54 years:
HD01_VD33,Estimate; Total: - Female: - 35 to 54 years: - Veteran
HD02_VD33,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran
HD01_VD34,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran
HD02_VD34,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran
HD01_VD35,Estimate; Total: - Female: - 55 to 64 years:
HD02_VD35,Margin of Error; Total: - Female: - 55 to 64 years:
HD01_VD36,Estimate; Total: - Female: - 55 to 64 years: - Veteran
HD02_VD36,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran
HD01_VD37,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran
HD02_VD37,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran
HD01_VD38,Estimate; Total: - Female: - 65 to 74 years:
HD02_VD38,Margin of Error; Total: - Female: - 65 to 74 years:
HD01_VD39,Estimate; Total: - Female: - 65 to 74 years: - Veteran
HD02_VD39,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran
HD01_VD40,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran
HD02_VD40,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran
HD01_VD41,Estimate; Total: - Female: - 75 years and over:
HD02_VD41,Margin of Error; Total: - Female: - 75 years and over:
HD01_VD42,Estimate; Total: - Female: - 75 years and over: - Veteran
HD02_VD42,Margin of Error; Total: - Female: - 75 years and over: - Veteran
HD01_VD43,Estimate; Total: - Female: - 75 years and over: - Nonveteran
HD02_VD43,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
